2025-11-01 17:37:28.668 | ERROR    | data_ingestion:run:67 - Error handling message from Binance: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:28.692 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:28.744 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:28.821 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:28.821 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:28.821 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:28.964 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:28.969 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:28.978 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:28.985 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.026 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.046 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.064 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.125 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.126 | ERROR    | data_ingestion:run:67 - Error handling message from Binance: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.164 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.254 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.269 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.275 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.695 | ERROR    | data_ingestion:run:67 - Error handling message from Binance: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.772 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.790 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.790 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.869 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.869 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.869 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.869 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.869 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.870 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.870 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.881 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.904 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:29.962 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:30.020 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
2025-11-01 17:37:30.021 | ERROR    | data_ingestion:run:67 - Error handling message from Coinbase: can't subtract offset-naive and offset-aware datetimes
